uni_name,Zip,state,status,url,uni_type,ID
Guru Gobind Singh Indraprastha Vishwavidyalaya,110078,Delhi,2(f) & 12(B),http://www.ipu.ac.in,State,484
Guru Jambeshwar University of Science and Technology,125001,Haryana,2(f),https://www.gjust.ac.in,State,260
Guru Jambheshwar University,244001,Uttar Pradesh,2(f),https://nan,State,1345
Guru Nanak Dev University,143005,Punjab,2(f) & 12(B),https://www.gndu.ac.in,State,261
Guru Ravidas Ayurved University,146001,Punjab,2(f),https://graupunjab.org,State,658
Gurugram University,122018,Haryana,2(f),http://gurugramuniversity.ac.in,State,1007
Harcourt Butler Technical University,208002,Uttar Pradesh,2(f) & 12(B),https://hbtu.ac.in,State,876
Harichand Guruchand University,743245,West Bengal,2(f),https://harichandguruchanduniversity.com,State,1107
Haridev Joshi University of Journalism and Mass Communication,302015,Rajasthan,2(f),https://hju.ac.in,State,1065
Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),491001,Chhattisgarh,2(f),http://www.durguniversity.ac.in,State,949
Hemchandracharya North Gujarat University,384265,Gujarat,2(f) & 12(B),http://www.ngu.ac.in,State,262
Hidayatullah National Law University,492002,Chhattisgarh,2(f) & 12(B),http://www.hnlu.ac.in,State,263
Himachal Pradesh National Law University,171014,Himachal Pradesh,2(f) & 12(B),https://www.hpnlu.ac.in,State,948
Himachal Pradesh Technical University,177001,Himachal Pradesh,2(f),https://www.himtu.ac.in,State,561
Himachal Pradesh University,171005,Himachal Pradesh,2(f) & 12(B),https://hpuniv.ac.in,State,265
Hindi University,711106,West Bengal,2(f),https://www.hindiuniv.ac.in,State,1095
Hyderabad (SIND) National Collegiate University,400018,Maharashtra,2(f),https://www.hsncu.edu.in,State,1119
I.K. Gujaral Punjab Technical University,144603,Punjab,2(f),https://ptu.ac.in,State,354
Indian Institute of Teacher Education,382016,Gujarat,2(f),https://www.iite.ac.in,State,699
Indira Gandhi Delhi Technical University for Women,110006,Delhi,2(f),http://www.igdtuw.ac.in,State,967
Indira Gandhi Krishi Vishwavidyalaya,492012,Chhattisgarh,2(f) & 12(B),https://igkv.ac.in,State,266
Indira Gandhi University,122502,Haryana,2(f) & 12(B),https://www.igu.ac.in,State,727
Indira Kala Sangeet Vishwavidyalaya,491881,Chhattisgarh,2(f) & 12(B),http://www.iksv.ac.in,State,267
